Format,TestType,Method,Throughput,Error
Protobuf,Baseline,getPlan,29.8,0
Protobuf,Baseline,getSpecificPlan,29.9,0
Protobuf,Baseline,createSubscriber,30,0
Protobuf,Baseline,createPlan,30,0
Protobuf,Load,getPlan,20.6,0
Protobuf,Load,getSpecificPlan,20.6,0.23
Protobuf,Load,createSubscriber,20,0.11
Protobuf,Load,createPlan,19.1,0
Protobuf,Stress,getPlan,15.3,0
Protobuf,Stress,getSpecificPlan,14.2,13.56
Protobuf,Stress,createSubscriber,11.5,7.70
Protobuf,Stress,createPlan,10.4,0
JSON,Baseline,getPlan,29.6,0
JSON,Baseline,getSpecificPlan,29.6,0
JSON,Baseline,createSubscriber,29.7,0
JSON,Baseline,createPlan,29.7,0
JSON,Load,getPlan,18.9,0
JSON,Load,getSpecificPlan,19,0.34
JSON,Load,createSubscriber,18.4,0.21
JSON,Load,createPlan,17.4,0
JSON,Stress,getPlan,10.3,42.65
JSON,Stress,getSpecificPlan,9.7,79.91
JSON,Stress,createSubscriber,7.9,86.10
JSON,Stress,createPlan,7.2,31.06